"4"
454.00,1351.00
734.00,886.00
994.00,408.00
1531.00,393.00
2039.00,443.00
2270.00,910.00
2535.00,996.00
3048.00,994.00
2119.00,1447.00
2164.00,1265.00
1826.00,1236.00
1568.00,1405.00
1525.00,1024.00
1093.00,1610.00
680.00,1848.67
2419.50,1692.00
2242.67,1905.33
2133.33,1904.00
3066.67,1968.67
2246.67,2084.67

"first_frame_centered"
620.00,1218.67
1015.50,787.50
1222.50,315.00
1711.50,258.00
2263.50,259.50
2535.00,744.00
2835.33,832.00
3164.67,813.33
1303.50,1294.50
2358.00,1129.50
1738.50,1104.00
1549.50,1266.00
1720.50,895.50
1087.50,1459.50
266.00,1649.00
1739.33,1537.33
1400.00,1732.67
1298.67,1729.33
2022.00,1815.33
758.00,1874.00
